agent,archetype,seed,episode,reward,ctr,sends,seconds
LINUCB,Housewife,0,950,-62.87520104453249,0.2732592159157402,42.725,59.5
LINUCB,Housewife,0,1000,-58.13845261298675,0.2821407795229785,42.975,59.5
LINUCB,Housewife,0,1050,-58.196560139328675,0.2829971181556196,43.375,59.5
LINUCB,Housewife,0,1100,-59.986222900427,0.2782352941176471,42.5,59.5
LINUCB,Housewife,0,1150,-63.91877959628515,0.2732362821948488,44.65,59.5
LINUCB,Housewife,0,1200,-55.145560249841445,0.2843197071384991,40.975,59.5
LINUCB,Housewife,0,1250,-58.52896500555069,0.2812687013764213,41.775,59.5
LINUCB,Housewife,0,1300,-62.99196442768048,0.27696234843650286,39.175,59.5
LINUCB,Housewife,0,1350,-63.12694055683092,0.2739549839228296,38.875,59.5
LINUCB,Housewife,0,1400,-59.57198790664737,0.2808641975308642,40.5,59.5
LINUCB,Housewife,0,1450,-62.66651552624304,0.27050720100187853,39.925,59.5
LINUCB,Housewife,0,1500,-65.8530614224001,0.27061044682190055,39.725,59.5
LINUCB,NormalStudent,0,50,-60.55726453318846,0.17028985507246377,48.3,71.4
LINUCB,NormalStudent,0,100,-59.35981333720181,0.1689080150618612,46.475,71.4
LINUCB,NormalStudent,0,150,-60.33926415662346,0.16833245660178853,47.525,71.4
LINUCB,NormalStudent,0,200,-60.78683549051705,0.16872427983539096,48.6,71.4
LINUCB,NormalStudent,0,250,-60.800350178304164,0.16835699797160245,49.3,71.4
LINUCB,NormalStudent,0,300,-66.94383602923673,0.16275586620069896,50.075,71.4
LINUCB,NormalStudent,0,350,-63.76912124112886,0.1682335477486393,50.525,71.4
LINUCB,NormalStudent,0,400,-65.47832191435432,0.16250636780438105,49.075,71.4
LINUCB,NormalStudent,0,450,-64.68026749088104,0.16364551863041288,49.65,71.4
LINUCB,NormalStudent,0,500,-64.03383157750777,0.16764418377321602,51.15,71.4
LINUCB,NormalStudent,0,550,-72.41615133766753,0.1570807153214113,51.725,71.4
LINUCB,NormalStudent,0,600,-68.1335009340331,0.16327519379844962,51.6,71.4
LINUCB,NormalStudent,0,650,-71.43015968594881,0.15914489311163896,52.625,71.4
LINUCB,NormalStudent,0,700,-69.63979847208037,0.16141541444498303,51.575,71.4
